gene_id	gene_name	gene_type	gene_description	gene_version	seqnames	start	end	width	strand
ENSMUSG00000101314	Gm29663	lncRNA	predicted gene 29663	1	chr1	12670324	12671176	853	-
ENSMUSG00000016918	Sulf1	protein_coding	sulfatase 1	15	chr1	12692277	12861192	168916	+
ENSMUSG00000025938	Slco5a1	protein_coding	solute carrier organic anion transporter family, member 5A1	16	chr1	12866549	12992650	126102	-
ENSMUSG00000099498	Gm29283	lncRNA	predicted gene 29283	1	chr1	13068838	13078662	9825	+
ENSMUSG00000042414	Prdm14	protein_coding	PR domain containing 14	7	chr1	13113457	13127163	13707	-
ENSMUSG00000005886	Ncoa2	protein_coding	nuclear receptor coactivator 2	14	chr1	13139105	13374083	234979	-
ENSMUSG00000101476	Gm29570	lncRNA	predicted gene 29570	1	chr1	13376070	13388413	12344	+
ENSMUSG00000025935	Tram1	protein_coding	translocating chain-associating membrane protein 1	10	chr1	13564698	13589910	25213	-
ENSMUSG00000025937	Lactb2	protein_coding	lactamase, beta 2	6	chr1	13623330	13660546	37217	-
ENSMUSG00000067813	Xkr9	protein_coding	X-linked Kx blood group related 9	3	chr1	13668771	13701723	32953	+
ENSMUSG00000025932	Eya1	protein_coding	EYA transcriptional coactivator and phosphatase 1	14	chr1	14168954	14310235	141282	-
ENSMUSG00000054493	Gm9947	lncRNA	predicted gene 9947	2	chr1	14752937	14776931	23995	+
ENSMUSG00000025930	Msc	protein_coding	musculin	6	chr1	14753346	14755992	2647	-
ENSMUSG00000032769	Trpa1	protein_coding	transient receptor potential cation channel, subfamily A, member 1	5	chr1	14872648	14918862	46215	-
ENSMUSG00000092083	Kcnb2	protein_coding	potassium voltage gated channel, Shab-related subfamily, member 2	4	chr1	15287254	15723750	436497	+
ENSMUSG00000025925	Terf1	protein_coding	telomeric repeat binding factor 1	14	chr1	15805646	15844052	38407	+
ENSMUSG00000032719	Sbspon	protein_coding	somatomedin B and thrombospondin, type 1 domain containing	4	chr1	15853862	15892722	38861	-
ENSMUSG00000067795	4930444P10Rik	protein_coding	RIKEN cDNA 4930444P10 gene	13	chr1	16065979	16093325	27347	-
ENSMUSG00000043716	Rpl7	protein_coding	ribosomal protein L7	13	chr1	16101295	16104662	3368	-
ENSMUSG00000025921	Rdh10	protein_coding	retinol dehydrogenase 10 (all-trans)	7	chr1	16105774	16133734	27961	+
ENSMUSG00000100868	Gm28095	lncRNA	predicted gene 28095	1	chr1	16228506	16244062	15557	+
ENSMUSG00000025920	Stau2	protein_coding	staufen double-stranded RNA binding protein 2	19	chr1	16228674	16520112	291439	-
ENSMUSG00000089982	Gm7568	lncRNA	predicted gene 7568	7	chr1	16253592	16267921	14330	+
ENSMUSG00000025939	Ube2w	protein_coding	ubiquitin-conjugating enzyme E2W (putative)	18	chr1	16540790	16619489	78700	-
ENSMUSG00000079658	Eloc	protein_coding	elongin C	9	chr1	16641725	16657042	15318	-
ENSMUSG00000097744	D030040B21Rik	lncRNA	RIKEN cDNA D030040B21 gene	1	chr1	16657552	16662278	4727	+
ENSMUSG00000025940	Tmem70	protein_coding	transmembrane protein 70	6	chr1	16665207	16678275	13069	+
ENSMUSG00000025779	Ly96	protein_coding	lymphocyte antigen 96	10	chr1	16688051	16709611	21561	+
ENSMUSG00000101640	Gm28376	lncRNA	predicted gene 28376	1	chr1	16898185	17091631	193447	+
ENSMUSG00000042686	Jph1	protein_coding	junctophilin 1	5	chr1	16964560	17097889	133330	-
ENSMUSG00000100110	Gm28783	lncRNA	predicted gene 28783	1	chr1	17124747	17128956	4210	+
ENSMUSG00000025777	Gdap1	protein_coding	ganglioside-induced differentiation-associated-protein 1	8	chr1	17145362	17164271	18910	+
ENSMUSG00000099899	Gm28784	lncRNA	predicted gene 28784	1	chr1	17168403	17173103	4701	+
ENSMUSG00000067780	Pi15	protein_coding	peptidase inhibitor 15	3	chr1	17601901	17630939	29039	+
ENSMUSG00000100053	Gm28154	lncRNA	predicted gene 28154	1	chr1	17615084	17641081	25998	-
ENSMUSG00000085125	Gm16070	lncRNA	predicted gene 16070	7	chr1	17676027	17727646	51620	-
ENSMUSG00000025776	Crispld1	protein_coding	cysteine-rich secretory protein LCCL domain containing 1	13	chr1	17727045	17766344	39300	+
ENSMUSG00000099895	Gm28153	lncRNA	predicted gene 28153	1	chr1	17741915	17805417	63503	-
ENSMUSG00000109887	Gm28756	lncRNA	predicted gene 28756	1	chr1	17994462	18059056	64595	-
ENSMUSG00000025774	Crisp4	protein_coding	cysteine-rich secretory protein 4	14	chr1	18115191	18145902	30712	-
ENSMUSG00000073735	Defb18	protein_coding	defensin beta 18	1	chr1	18236473	18237443	971	-
ENSMUSG00000067773	Defb41	protein_coding	defensin beta 41	6	chr1	18250980	18265138	14159	-
ENSMUSG00000089787	Gm15825	lncRNA	predicted gene 15825	2	chr1	19063300	19104840	41541	-
ENSMUSG00000042596	Tfap2d	protein_coding	transcription factor AP-2, delta	7	chr1	19103022	19166346	63325	+
ENSMUSG00000025927	Tfap2b	protein_coding	transcription factor AP-2 beta	13	chr1	19208914	19238576	29663	+
ENSMUSG00000100538	Gm28340	lncRNA	predicted gene 28340	1	chr1	19242725	19243769	1045	+
ENSMUSG00000043760	Pkhd1	protein_coding	polycystic kidney and hepatic disease 1	16	chr1	20057779	20618064	560286	-
ENSMUSG00000089914	4930486I03Rik	lncRNA	RIKEN cDNA 4930486I03 gene	2	chr1	20356452	20392300	35849	+
ENSMUSG00000099906	Gm28653	lncRNA	predicted gene 28653	2	chr1	20669882	20684298	14417	+
ENSMUSG00000025929	Il17a	protein_coding	interleukin 17A	4	chr1	20730905	20734496	3592	+
ENSMUSG00000041872	Il17f	protein_coding	interleukin 17F	9	chr1	20777146	20790617	13472	-
ENSMUSG00000041859	Mcm3	protein_coding	minichromosome maintenance complex component 3	10	chr1	20802968	20820312	17345	-
ENSMUSG00000102121	Gm28065	lncRNA	predicted gene 28065	1	chr1	20836661	20839689	3029	+
ENSMUSG00000097934	6720483E21Rik	lncRNA	RIKEN cDNA 6720483E21 gene	1	chr1	20888650	20890473	1824	-
ENSMUSG00000025931	Paqr8	protein_coding	progestin and adipoQ receptor family member VIII	15	chr1	20890606	20939650	49045	+
ENSMUSG00000041809	Efhc1	protein_coding	EF-hand domain (C-terminal) containing 1	5	chr1	20951626	20990841	39216	+
ENSMUSG00000041779	Tram2	protein_coding	translocating chain-associating membrane protein 2	5	chr1	20996299	21079229	82931	-
ENSMUSG00000099971	Gm28287	lncRNA	predicted gene 28287	1	chr1	21080114	21081748	1635	+
ENSMUSG00000025933	Tmem14a	protein_coding	transmembrane protein 14A	15	chr1	21218575	21230167	11593	+
ENSMUSG00000025934	Gsta3	protein_coding	glutathione S-transferase, alpha 3	15	chr1	21240589	21265661	25073	+
ENSMUSG00000099343	Gm28836	lncRNA	predicted gene 28836	1	chr1	21250359	21271593	21235	-
ENSMUSG00000067750	Khdc1a	protein_coding	KH domain containing 1A	3	chr1	21349641	21352200	2560	+
ENSMUSG00000041722	Khdc1c	protein_coding	KH domain containing 1C	7	chr1	21368331	21370845	2515	+
ENSMUSG00000085079	Khdc1b	protein_coding	KH domain containing 1B	3	chr1	21383556	21386373	2818	+
ENSMUSG00000028033	Kcnq5	protein_coding	potassium voltage-gated channel, subfamily Q, member 5	16	chr1	21398403	21961942	563540	-
ENSMUSG00000041670	Rims1	protein_coding	regulating synaptic membrane exocytosis 1	16	chr1	22286251	22805994	519744	-
ENSMUSG00000101227	Gm29506	lncRNA	predicted gene 29506	1	chr1	23048295	23235673	187379	-
ENSMUSG00000073730	4933415F23Rik	protein_coding	RIKEN cDNA 4933415F23 gene	2	chr1	23100473	23102253	1781	-
ENSMUSG00000097970	Gm27028	lncRNA	predicted gene, 27028	1	chr1	23291537	23291935	399	+
ENSMUSG00000100775	Gm29107	lncRNA	predicted gene 29107	1	chr1	23293729	23294075	347	+
ENSMUSG00000026158	Ogfrl1	protein_coding	opioid growth factor receptor-like 1	11	chr1	23366424	23397772	31349	-
ENSMUSG00000099503	Gm28822	lncRNA	predicted gene 28822	1	chr1	23574587	23596664	22078	+
ENSMUSG00000026156	B3gat2	protein_coding	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	8	chr1	23761753	23849158	87406	+
ENSMUSG00000026155	Smap1	protein_coding	small ArfGAP 1	13	chr1	23844846	23922317	77472	-
ENSMUSG00000026154	Sdhaf4	protein_coding	succinate dehydrogenase complex assembly factor 4	4	chr1	23995939	24005656	9718	-
ENSMUSG00000026153	Fam135a	protein_coding	family with sequence similarity 135, member A	15	chr1	24011093	24100341	89249	-
ENSMUSG00000026147	Col9a1	protein_coding	collagen, type IX, alpha 1	16	chr1	24177610	24252684	75075	+
ENSMUSG00000026141	Col19a1	protein_coding	collagen, type XIX, alpha 1	13	chr1	24261890	24587472	325583	-
ENSMUSG00000073725	Lmbrd1	protein_coding	LMBR1 domain containing 1	8	chr1	24678630	24766301	87672	+
ENSMUSG00000100483	Gm28237	lncRNA	predicted gene 28237	1	chr1	24963209	24965158	1950	-
ENSMUSG00000099392	Gm29414	lncRNA	predicted gene 29414	1	chr1	25026581	25027232	652	-
ENSMUSG00000033569	Adgrb3	protein_coding	adhesion G protein-coupled receptor B3	17	chr1	25067476	25829707	762232	-
ENSMUSG00000073722	4931408C20Rik	protein_coding	RIKEN cDNA 4931408C20 gene	3	chr1	26681814	26687460	5647	-
ENSMUSG00000101514	Gm5524	lncRNA	predicted gene 5524	1	chr1	27884046	27902396	18351	+
ENSMUSG00000048411	Gm597	protein_coding	predicted gene 597	4	chr1	28776117	28780252	4136	-
ENSMUSG00000053185	Gm9898	lncRNA	predicted gene 9898	2	chr1	30718560	30719962	1403	-
ENSMUSG00000048874	Phf3	protein_coding	PHD finger protein 3	15	chr1	30802339	30873921	71583	-
ENSMUSG00000026064	Ptp4a1	protein_coding	protein tyrosine phosphatase 4a1	16	chr1	30940302	30949309	9008	-
ENSMUSG00000117310	Ptp4a1	protein_coding	protein tyrosine phosphatase 4a1	2	chr1	30940302	30949770	9469	-
ENSMUSG00000117091	Gm5698	protein_coding	predicted gene 5698	1	chr1	30977243	30977968	726	-
ENSMUSG00000086727	4931428L18Rik	protein_coding	RIKEN cDNA 4931428L18 gene	8	chr1	30997842	31222684	224843	-
ENSMUSG00000100237	Gm28644	lncRNA	predicted gene 28644	1	chr1	31041919	31043675	1757	+
ENSMUSG00000100910	Gm29128	lncRNA	predicted gene 29128	1	chr1	31136026	31150105	14080	+
ENSMUSG00000050217	Lgsn	protein_coding	lengsin, lens protein with glutamine synthetase domain	13	chr1	31176401	31204725	28325	+
ENSMUSG00000026063	Pih1d3	protein_coding	PIH1 domain containing 3	4	chr1	31222838	31224288	1451	+
ENSMUSG00000026058	Khdrbs2	protein_coding	KH domain containing, RNA binding, signal transduction associated 2	11	chr1	32172714	32658568	485855	+
ENSMUSG00000091318	Gm5415	protein_coding	predicted gene 5415	2	chr1	32543686	32547294	3609	-
ENSMUSG00000102917	Gm37724	lncRNA	predicted gene, 37724	1	chr1	33065130	33066350	1221	+
ENSMUSG00000104230	Gm37591	lncRNA	predicted gene, 37591	1	chr1	33212774	33215475	2702	-
ENSMUSG00000026134	Prim2	protein_coding	DNA primase, p58 subunit	11	chr1	33453810	33669795	215986	-
ENSMUSG00000004768	Rab23	protein_coding	RAB23, member RAS oncogene family	14	chr1	33719887	33742564	22678	+
ENSMUSG00000042215	Bag2	protein_coding	BCL2-associated athanogene 2	8	chr1	33745484	33757795	12312	-
ENSMUSG00000042197	Zfp451	protein_coding	zinc finger protein 451	13	chr1	33761545	33814595	53051	-
ENSMUSG00000042182	Bend6	protein_coding	BEN domain containing 6	16	chr1	33852052	33907816	55765	-
ENSMUSG00000026131	Dst	protein_coding	dystonin	20	chr1	33908225	34308661	400437	+
ENSMUSG00000096992	Gm26788	lncRNA	predicted gene, 26788	3	chr1	34165856	34178446	12591	-
ENSMUSG00000104397	Gm37958	lncRNA	predicted gene, 37958	1	chr1	34329433	34330307	875	-
ENSMUSG00000102336	Gm37233	lncRNA	predicted gene, 37233	1	chr1	34427002	34433264	6263	-
ENSMUSG00000042111	Ccdc115	protein_coding	coiled-coil domain containing 115	9	chr1	34436670	34439672	3003	-
ENSMUSG00000101711	Gm28306	lncRNA	predicted gene 28306	1	chr1	34439511	34444730	5220	-
ENSMUSG00000026127	Imp4	protein_coding	IMP4, U3 small nucleolar ribonucleoprotein	13	chr1	34439851	34449356	9506	+
ENSMUSG00000026126	Ptpn18	protein_coding	protein tyrosine phosphatase, non-receptor type 18	15	chr1	34459762	34475733	15972	+
ENSMUSG00000100280	Gm28417	lncRNA	predicted gene 28417	2	chr1	34468834	34473148	4315	-
ENSMUSG00000101223	4930568A12Rik	lncRNA	RIKEN cDNA 4930568A12 gene	6	chr1	34477167	34485933	8767	-
ENSMUSG00000026125	Prss39	protein_coding	protease, serine 39	9	chr1	34498410	34503063	4654	+
ENSMUSG00000026124	Cfc1	protein_coding	cripto, FRL-1, cryptic family 1	4	chr1	34535648	34544313	8666	+
ENSMUSG00000037529	Prss40	protein_coding	protease, serine 40	13	chr1	34543968	34560943	16976	-
ENSMUSG00000045815	1700101I19Rik	lncRNA	RIKEN cDNA 1700101I19 gene	4	chr1	34579202	34579711	510	-
ENSMUSG00000045174	Amer3	protein_coding	APC membrane recruitment 3	10	chr1	34579657	34590944	11288	+
ENSMUSG00000037509	Arhgef4	protein_coding	Rho guanine nucleotide exchange factor (GEF) 4	21	chr1	34678188	34813309	135122	+
ENSMUSG00000118272	Arhgef4	protein_coding	Rho guanine nucleotide exchange factor (GEF) 4	1	chr1	34801794	34801964	171	+
ENSMUSG00000104002	Gm38336	lncRNA	predicted gene, 38336	2	chr1	34809360	34811908	2549	-
ENSMUSG00000037503	Fam168b	protein_coding	family with sequence similarity 168, member B	12	chr1	34813219	34843065	29847	-
ENSMUSG00000026123	Plekhb2	protein_coding	pleckstrin homology domain containing, family B (evectins) member 2	11	chr1	34849976	34879580	29605	+
ENSMUSG00000104417	Gm37068	lncRNA	predicted gene, 37068	1	chr1	35625606	35651297	25692	-
ENSMUSG00000101714	Gm28415	lncRNA	predicted gene 28415	1	chr1	35806974	35810462	3489	+
ENSMUSG00000102531	1110002O04Rik	lncRNA	RIKEN cDNA 1110002O04 gene	1	chr1	35879845	35881119	1275	+
ENSMUSG00000102279	Gm37146	lncRNA	predicted gene, 37146	1	chr1	35981960	35986373	4414	-
ENSMUSG00000103708	Gm33222	lncRNA	predicted gene, 33222	1	chr1	36002985	36011044	8060	-
ENSMUSG00000104201	4930535G08Rik	lncRNA	RIKEN cDNA 4930535G08 gene	1	chr1	36011072	36011894	823	+
ENSMUSG00000045216	Hs6st1	protein_coding	heparan sulfate 6-O-sulfotransferase 1	7	chr1	36068400	36106446	38047	+
ENSMUSG00000104523	Gm37335	lncRNA	predicted gene, 37335	1	chr1	36105384	36106446	1063	-
ENSMUSG00000102202	Gm33280	lncRNA	predicted gene, 33280	1	chr1	36132042	36138746	6705	+
ENSMUSG00000037470	Uggt1	protein_coding	UDP-glucose glycoprotein glucosyltransferase 1	14	chr1	36140027	36244720	104694	-
ENSMUSG00000047180	Neurl3	protein_coding	neuralized E3 ubiquitin protein ligase 3	8	chr1	36264597	36274679	10083	-
ENSMUSG00000037447	Arid5a	protein_coding	AT rich interactive domain 5A (MRF1-like)	16	chr1	36307733	36324029	16297	+
ENSMUSG00000102762	4930403P22Rik	lncRNA	RIKEN cDNA 4930403P22 gene	1	chr1	36332708	36333420	713	+
ENSMUSG00000010453	Kansl3	protein_coding	KAT8 regulatory NSL complex subunit 3	12	chr1	36335730	36369181	33452	-
ENSMUSG00000037432	Fer1l5	protein_coding	fer-1-like 5 (C. elegans)	15	chr1	36372291	36422110	49820	+
ENSMUSG00000001143	Lman2l	protein_coding	lectin, mannose-binding 2-like	13	chr1	36419871	36445271	25401	-
ENSMUSG00000037408	Cnnm4	protein_coding	cyclin M4	10	chr1	36471620	36508764	37145	+
ENSMUSG00000001138	Cnnm3	protein_coding	cyclin M3	13	chr1	36511867	36528237	16371	+
ENSMUSG00000102845	Gm38033	lncRNA	predicted gene, 38033	1	chr1	36527534	36528237	704	-
ENSMUSG00000067653	Ankrd23	protein_coding	ankyrin repeat domain 23	12	chr1	36530188	36536883	6696	-
ENSMUSG00000079610	Ankrd39	protein_coding	ankyrin repeat domain 39	9	chr1	36537507	36547445	9939	-
ENSMUSG00000026121	Sema4c	protein_coding	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	13	chr1	36548639	36558349	9711	-
ENSMUSG00000087589	D430040D24Rik	lncRNA	RIKEN cDNA D430040D24 gene	3	chr1	36557701	36565613	7913	+
ENSMUSG00000046337	Fam178b	protein_coding	family with sequence similarity 178, member B	17	chr1	36562692	36683183	120492	-
ENSMUSG00000061518	Cox5b	protein_coding	cytochrome c oxidase subunit 5B	11	chr1	36691449	36693681	2233	+
ENSMUSG00000037351	Actr1b	protein_coding	ARP1 actin-related protein 1B, centractin beta	9	chr1	36698114	36714422	16309	-
ENSMUSG00000102416	4933424G06Rik	protein_coding	RIKEN cDNA 4933424G06 gene	4	chr1	36710149	36757953	47805	+
ENSMUSG00000104237	Gm33533	lncRNA	predicted gene, 33533	1	chr1	36739048	36744792	5745	-
ENSMUSG00000026117	Zap70	protein_coding	zeta-chain (TCR) associated protein kinase	10	chr1	36761798	36782818	21021	+
ENSMUSG00000026116	Tmem131	protein_coding	transmembrane protein 131	11	chr1	36792191	36943666	151476	-
ENSMUSG00000102930	Gm38115	lncRNA	predicted gene, 38115	1	chr1	36913601	36916539	2939	-
ENSMUSG00000050122	Vwa3b	protein_coding	von Willebrand factor A domain containing 3B	19	chr1	37026596	37187613	161018	+
ENSMUSG00000103603	Gm37020	lncRNA	predicted gene, 37020	1	chr1	37132273	37133264	992	-
ENSMUSG00000026114	Cnga3	protein_coding	cyclic nucleotide gated channel alpha 3	14	chr1	37214434	37263384	48951	+
ENSMUSG00000026113	Inpp4a	protein_coding	inositol polyphosphate-4-phosphatase, type I	17	chr1	37299865	37410736	110872	+
ENSMUSG00000086064	4930439A04Rik	lncRNA	RIKEN cDNA 4930439A04 gene	1	chr1	37329667	37334172	4506	-
ENSMUSG00000026112	Coa5	protein_coding	cytochrome C oxidase assembly factor 5	7	chr1	37417084	37430103	13020	-
ENSMUSG00000026111	Unc50	protein_coding	unc-50 homolog	15	chr1	37430139	37439124	8986	+
ENSMUSG00000026110	Mgat4a	protein_coding	mannoside acetylglucosaminyltransferase 4, isoenzyme A	15	chr1	37439340	37541016	101677	-
ENSMUSG00000026090	2010300C02Rik	protein_coding	RIKEN cDNA 2010300C02 gene	16	chr1	37611677	37720085	108409	-
ENSMUSG00000089767	4930556I23Rik	lncRNA	RIKEN cDNA 4930556I23 gene	1	chr1	37614259	37615372	1114	+
ENSMUSG00000060771	Tsga10	protein_coding	testis specific 10	14	chr1	37754776	37866429	111654	-
ENSMUSG00000097268	Gm26805	lncRNA	predicted gene, 26805	1	chr1	37865299	37871388	6090	+
ENSMUSG00000037216	Lipt1	protein_coding	lipoyltransferase 1	5	chr1	37871738	37876228	4491	+
ENSMUSG00000026088	Mitd1	protein_coding	MIT, microtubule interacting and transport, domain containing 1	15	chr1	37874801	37890411	15611	-
ENSMUSG00000026087	Mrpl30	protein_coding	mitochondrial ribosomal protein L30	11	chr1	37890477	37898535	8059	+
ENSMUSG00000061584	Lyg2	protein_coding	lysozyme G-like 2	6	chr1	37905923	37916493	10571	-
ENSMUSG00000087374	Gm15457	lncRNA	predicted gene 15457	1	chr1	37933596	37954136	20541	+
ENSMUSG00000026085	Lyg1	protein_coding	lysozyme G-like 1	11	chr1	37946736	37957759	11024	-
ENSMUSG00000058407	Txndc9	protein_coding	thioredoxin domain containing 9	12	chr1	37985189	37997893	12705	-
ENSMUSG00000026083	Eif5b	protein_coding	eukaryotic translation initiation factor 5B	12	chr1	37998010	38055579	57570	+
ENSMUSG00000026082	Rev1	protein_coding	REV1, DNA directed polymerase	11	chr1	38052786	38129801	77016	-
ENSMUSG00000103804	Gm37062	lncRNA	predicted gene, 37062	1	chr1	38076295	38077305	1011	-
ENSMUSG00000102716	Gm5099	lncRNA	predicted gene 5099	1	chr1	38132083	38159892	27810	+
ENSMUSG00000037138	Aff3	protein_coding	AF4/FMR2 family, member 3	18	chr1	38177326	38664955	487630	-
ENSMUSG00000085391	Gm16150	lncRNA	predicted gene 16150	1	chr1	38235420	38246666	11247	+
ENSMUSG00000085280	Gm16151	lncRNA	predicted gene 16151	1	chr1	38307902	38311930	4029	+
ENSMUSG00000087131	Gm16152	lncRNA	predicted gene 16152	7	chr1	38384949	38393974	9026	+
ENSMUSG00000048814	Lonrf2	protein_coding	LON peptidase N-terminal domain and ring finger 2	11	chr1	38793645	38836711	43067	-
ENSMUSG00000026080	Chst10	protein_coding	carbohydrate sulfotransferase 10	13	chr1	38863867	38898161	34295	-
ENSMUSG00000103647	Gm37707	lncRNA	predicted gene, 37707	1	chr1	38884754	38888072	3319	+
ENSMUSG00000067604	Nms	protein_coding	neuromedin S	8	chr1	38939149	38950276	11128	+
ENSMUSG00000026078	Pdcl3	protein_coding	phosducin-like 3	10	chr1	38985608	38997238	11631	+
ENSMUSG00000104188	Gm37821	lncRNA	predicted gene, 37821	1	chr1	39048648	39057637	8990	-
ENSMUSG00000026077	Npas2	protein_coding	neuronal PAS domain protein 2	15	chr1	39193731	39363236	169506	+
ENSMUSG00000073702	Rpl31	protein_coding	ribosomal protein L31	11	chr1	39367842	39371911	4070	+
ENSMUSG00000003134	Tbc1d8	protein_coding	TBC1 domain family, member 8	10	chr1	39371492	39478755	107264	-
ENSMUSG00000003135	Cnot11	protein_coding	CCR4-NOT transcription complex, subunit 11	15	chr1	39534992	39546889	11898	+
ENSMUSG00000085894	Gm15832	lncRNA	predicted gene 15832	1	chr1	39547570	39552002	4433	-
ENSMUSG00000048234	Rnf149	protein_coding	ring finger protein 149	13	chr1	39551296	39577405	26110	-
ENSMUSG00000050967	Creg2	protein_coding	cellular repressor of E1A-stimulated genes 2	5	chr1	39618406	39651474	33069	-
ENSMUSG00000097083	D930019O06Rik	lncRNA	RIKEN cDNA D930019O06	1	chr1	39650176	39657390	7215	+
ENSMUSG00000057173	Rfx8	protein_coding	regulatory factor X 8	8	chr1	39665301	39720997	55697	-
