gene_id	gene_name	gene_type	gene_description	gene_version	seqnames	start	end	width	strand
ENSMUSG00000099498	Gm29283	lncRNA	predicted gene 29283	2	chr1	13139062	13148886	9825	+
ENSMUSG00000042414	Prdm14	protein_coding	PR domain containing 14	8	chr1	13183681	13197387	13707	-
ENSMUSG00000005886	Ncoa2	protein_coding	nuclear receptor coactivator 2	15	chr1	13209329	13444307	234979	-
ENSMUSG00000101476	Gm29570	lncRNA	predicted gene 29570	2	chr1	13446294	13458637	12344	+
ENSMUSG00000025935	Tram1	protein_coding	translocating chain-associating membrane protein 1	11	chr1	13634922	13660134	25213	-
ENSMUSG00000120948	Gm57152	lncRNA	predicted gene, 57152	1	chr1	13663819	13667317	3499	+
ENSMUSG00000025937	Lactb2	protein_coding	lactamase, beta 2	7	chr1	13693554	13730770	37217	-
ENSMUSG00000067813	Xkr9	protein_coding	X-linked Kx blood group related 9	4	chr1	13738995	13771947	32953	+
ENSMUSG00000025932	Eya1	protein_coding	EYA transcriptional coactivator and phosphatase 1	15	chr1	14239178	14380459	141282	-
ENSMUSG00000054493	Gm9947	lncRNA	predicted gene 9947	3	chr1	14823161	14847155	23995	+
ENSMUSG00000025930	Msc	protein_coding	musculin	7	chr1	14823570	14826216	2647	-
ENSMUSG00000032769	Trpa1	protein_coding	transient receptor potential cation channel, subfamily A, member 1	6	chr1	14942872	14989086	46215	-
ENSMUSG00000092083	Kcnb2	protein_coding	potassium voltage gated channel, Shab-related subfamily, member 2	5	chr1	15357478	15793974	436497	+
ENSMUSG00000025925	Terf1	protein_coding	telomeric repeat binding factor 1	15	chr1	15875870	15914276	38407	+
ENSMUSG00000032719	Sbspon	protein_coding	somatomedin B and thrombospondin, type 1 domain containing	5	chr1	15924086	15962946	38861	-
ENSMUSG00000067795	4930444P10Rik	protein_coding	RIKEN cDNA 4930444P10 gene	14	chr1	16136203	16163549	27347	-
ENSMUSG00000043716	Rpl7	protein_coding	ribosomal protein L7	14	chr1	16171519	16174886	3368	-
ENSMUSG00000025921	Rdh10	protein_coding	retinol dehydrogenase 10 (all-trans)	8	chr1	16175998	16203958	27961	+
ENSMUSG00000100868	Gm28095	lncRNA	predicted gene 28095	2	chr1	16298730	16314286	15557	+
ENSMUSG00000025920	Stau2	protein_coding	staufen double-stranded RNA binding protein 2	20	chr1	16298898	16590336	291439	-
ENSMUSG00000089982	Gm7568	lncRNA	predicted gene 7568	8	chr1	16323816	16338145	14330	+
ENSMUSG00000025939	Ube2w	protein_coding	ubiquitin-conjugating enzyme E2W (putative)	20	chr1	16611014	16689713	78700	-
ENSMUSG00000079658	Eloc	protein_coding	elongin C	10	chr1	16711949	16727266	15318	-
ENSMUSG00000097744	D030040B21Rik	lncRNA	RIKEN cDNA D030040B21 gene	2	chr1	16727776	16732502	4727	+
ENSMUSG00000025940	Tmem70	protein_coding	transmembrane protein 70	7	chr1	16735431	16748499	13069	+
ENSMUSG00000025779	Ly96	protein_coding	lymphocyte antigen 96	11	chr1	16758275	16779835	21561	+
ENSMUSG00000101640	Gm28376	lncRNA	predicted gene 28376	2	chr1	16968409	17161855	193447	+
ENSMUSG00000042686	Jph1	protein_coding	junctophilin 1	6	chr1	17034784	17168113	133330	-
ENSMUSG00000100110	Gm28783	lncRNA	predicted gene 28783	2	chr1	17194971	17199180	4210	+
ENSMUSG00000025777	Gdap1	protein_coding	ganglioside-induced differentiation-associated-protein 1	9	chr1	17215586	17234495	18910	+
ENSMUSG00000099899	Gm28784	lncRNA	predicted gene 28784	2	chr1	17238627	17243327	4701	+
ENSMUSG00000067780	Pi15	protein_coding	peptidase inhibitor 15	4	chr1	17672125	17701163	29039	+
ENSMUSG00000100053	Gm28154	lncRNA	predicted gene 28154	2	chr1	17685308	17711305	25998	-
ENSMUSG00000085125	Gm16070	lncRNA	predicted gene 16070	8	chr1	17746251	17797870	51620	-
ENSMUSG00000025776	Crispld1	protein_coding	cysteine-rich secretory protein LCCL domain containing 1	14	chr1	17797269	17836568	39300	+
ENSMUSG00000099895	Gm28153	lncRNA	predicted gene 28153	2	chr1	17812139	17875641	63503	-
ENSMUSG00000109887	Gm28756	lncRNA	predicted gene 28756	2	chr1	18064686	18129280	64595	-
ENSMUSG00000025774	Crisp4	protein_coding	cysteine-rich secretory protein 4	15	chr1	18185415	18216126	30712	-
ENSMUSG00000073735	Defb18	protein_coding	defensin beta 18	2	chr1	18306697	18307667	971	-
ENSMUSG00000067773	Defb41	protein_coding	defensin beta 41	7	chr1	18321204	18335362	14159	-
ENSMUSG00000089787	Gm15825	lncRNA	predicted gene 15825	3	chr1	19133524	19175064	41541	-
ENSMUSG00000042596	Tfap2d	protein_coding	transcription factor AP-2, delta	8	chr1	19173246	19236570	63325	+
ENSMUSG00000025927	Tfap2b	protein_coding	transcription factor AP-2 beta	14	chr1	19279138	19308800	29663	+
ENSMUSG00000100538	Gm28340	lncRNA	predicted gene 28340	2	chr1	19312949	19313993	1045	+
ENSMUSG00000043760	Pkhd1	protein_coding	polycystic kidney and hepatic disease 1	17	chr1	20128003	20688288	560286	-
ENSMUSG00000089914	4930486I03Rik	lncRNA	RIKEN cDNA 4930486I03 gene	3	chr1	20426676	20462524	35849	+
ENSMUSG00000099906	Lincmd1	lncRNA	long intergenic non-protein coding RNA of muscle differentiation 1	3	chr1	20740106	20754522	14417	+
ENSMUSG00000025929	Il17a	protein_coding	interleukin 17A	5	chr1	20801129	20804720	3592	+
ENSMUSG00000041872	Il17f	protein_coding	interleukin 17F	10	chr1	20847370	20860841	13472	-
ENSMUSG00000041859	Mcm3	protein_coding	minichromosome maintenance complex component 3	11	chr1	20873192	20890536	17345	-
ENSMUSG00000102121	Gm28065	lncRNA	predicted gene 28065	2	chr1	20906885	20909913	3029	+
ENSMUSG00000097934	6720483E21Rik	lncRNA	RIKEN cDNA 6720483E21 gene	2	chr1	20958874	20960697	1824	-
ENSMUSG00000025931	Paqr8	protein_coding	progestin and adipoQ receptor family member VIII	16	chr1	20960830	21009874	49045	+
ENSMUSG00000041809	Efhc1	protein_coding	EF-hand domain (C-terminal) containing 1	6	chr1	21021850	21061065	39216	+
ENSMUSG00000041779	Tram2	protein_coding	translocating chain-associating membrane protein 2	6	chr1	21066523	21149453	82931	-
ENSMUSG00000099971	Gm28287	lncRNA	predicted gene 28287	2	chr1	21150338	21151972	1635	+
ENSMUSG00000025933	Tmem14a	protein_coding	transmembrane protein 14A	16	chr1	21288799	21300391	11593	+
ENSMUSG00000025934	Gsta3	protein_coding	glutathione S-transferase, alpha 3	16	chr1	21310813	21335885	25073	+
ENSMUSG00000099343	Gm28836	lncRNA	predicted gene 28836	2	chr1	21320583	21341817	21235	-
ENSMUSG00000121505	Gm4956	lncRNA		1	chr1	21355457	21395963	40507	-
ENSMUSG00000067750	Khdc1a	protein_coding	KH domain containing 1A	4	chr1	21419865	21422424	2560	+
ENSMUSG00000041722	Khdc1c	protein_coding	KH domain containing 1C	8	chr1	21438555	21441069	2515	+
ENSMUSG00000085079	Khdc1b	protein_coding	KH domain containing 1B	4	chr1	21453780	21456597	2818	+
ENSMUSG00000028033	Kcnq5	protein_coding	potassium voltage-gated channel, subfamily Q, member 5	17	chr1	21468627	22032166	563540	-
ENSMUSG00000041670	Rims1	protein_coding	regulating synaptic membrane exocytosis 1	20	chr1	22356475	22845203	488729	-
ENSMUSG00000101227	Gm29506	lncRNA	predicted gene 29506	2	chr1	23087376	23274754	187379	-
ENSMUSG00000073730	Ppp1r14bl	protein_coding	protein phosphatase 1, regulatory inhibitor subunit 14B like	3	chr1	23139554	23141334	1781	-
ENSMUSG00000097970	Gm27028	lncRNA	predicted gene, 27028	2	chr1	23330618	23331016	399	+
ENSMUSG00000100775	Gm29107	lncRNA	predicted gene 29107	2	chr1	23332810	23333156	347	+
ENSMUSG00000026158	Ogfrl1	protein_coding	opioid growth factor receptor-like 1	12	chr1	23405505	23436853	31349	-
ENSMUSG00000099503	Gm28822	lncRNA	predicted gene 28822	2	chr1	23613668	23635745	22078	+
ENSMUSG00000026156	B3gat2	protein_coding	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	9	chr1	23800834	23888239	87406	+
ENSMUSG00000026155	Smap1	protein_coding	small ArfGAP 1	14	chr1	23883927	23961398	77472	-
ENSMUSG00000026154	Sdhaf4	protein_coding	succinate dehydrogenase complex assembly factor 4	5	chr1	24035020	24044737	9718	-
ENSMUSG00000026153	Fam135a	protein_coding	family with sequence similarity 135, member A	16	chr1	24050174	24139422	89249	-
ENSMUSG00000026147	Col9a1	protein_coding	collagen, type IX, alpha 1	17	chr1	24216691	24291765	75075	+
ENSMUSG00000026141	Col19a1	protein_coding	collagen, type XIX, alpha 1	14	chr1	24300971	24626553	325583	-
ENSMUSG00000073725	Lmbrd1	protein_coding	LMBR1 domain containing 1	9	chr1	24717711	24805382	87672	+
ENSMUSG00000100483	Gm28237	lncRNA	predicted gene 28237	2	chr1	25002290	25004239	1950	-
ENSMUSG00000099392	Gm29414	lncRNA	predicted gene 29414	2	chr1	25065662	25066313	652	-
ENSMUSG00000033569	Adgrb3	protein_coding	adhesion G protein-coupled receptor B3	18	chr1	25106557	25868788	762232	-
ENSMUSG00000073722	4931408C20Rik	protein_coding	RIKEN cDNA 4931408C20 gene	4	chr1	26720895	26726541	5647	-
ENSMUSG00000101514	Gm5524	lncRNA	predicted gene 5524	3	chr1	27923059	27941903	18845	+
ENSMUSG00000048411	Gm597	protein_coding	predicted gene 597	5	chr1	28815198	28819333	4136	-
ENSMUSG00000053185	Gm9898	lncRNA	predicted gene 9898	3	chr1	30757641	30759043	1403	-
ENSMUSG00000048874	Phf3	protein_coding	PHD finger protein 3	16	chr1	30841420	30913002	71583	-
ENSMUSG00000026064	Ptp4a1	protein_coding	protein tyrosine phosphatase 4a1	17	chr1	30979383	30988390	9008	-
ENSMUSG00000117310	Ptp4a1	protein_coding	protein tyrosine phosphatase 4a1	3	chr1	30979383	30988851	9469	-
ENSMUSG00000117091	Gm5698	protein_coding	predicted gene 5698	2	chr1	31016324	31017049	726	-
ENSMUSG00000086727	4931428L18Rik	protein_coding	RIKEN cDNA 4931428L18 gene	10	chr1	31036933	31261765	224833	-
ENSMUSG00000100237	Gm28644	lncRNA	predicted gene 28644	2	chr1	31081000	31082756	1757	+
ENSMUSG00000100910	Gm29128	lncRNA	predicted gene 29128	2	chr1	31175107	31189186	14080	+
ENSMUSG00000050217	Lgsn	protein_coding	lengsin, lens protein with glutamine synthetase domain	14	chr1	31215482	31243806	28325	+
ENSMUSG00000026063	Dnaaf6	protein_coding	dynein axonemal assembly factor 6	5	chr1	31261919	31263369	1451	+
ENSMUSG00000094215	Gm6489	protein_coding	predicted gene 6489	4	chr1	31326026	31326787	762	+
ENSMUSG00000026058	Khdrbs2	protein_coding	KH domain containing, RNA binding, signal transduction associated 2	12	chr1	32211795	32697649	485855	+
ENSMUSG00000091318	Semp2l1	protein_coding	SUMO/sentrin specific peptidase 2-like 1	3	chr1	32582767	32586375	3609	-
ENSMUSG00000102917	Gm37724	lncRNA	predicted gene, 37724	2	chr1	33104211	33105431	1221	+
ENSMUSG00000104230	Gm37591	lncRNA	predicted gene, 37591	2	chr1	33251855	33254556	2702	-
ENSMUSG00000026134	Prim2	protein_coding	DNA primase, p58 subunit	12	chr1	33492891	33708876	215986	-
ENSMUSG00000121274	Gm57180	lncRNA	predicted gene, 57180	1	chr1	33758492	33759167	676	-
ENSMUSG00000004768	Rab23	protein_coding	RAB23, member RAS oncogene family	15	chr1	33758968	33781645	22678	+
ENSMUSG00000042215	Bag2	protein_coding	BCL2-associated athanogene 2	9	chr1	33784565	33796876	12312	-
ENSMUSG00000042197	Zfp451	protein_coding	zinc finger protein 451	14	chr1	33800626	33853676	53051	-
ENSMUSG00000042182	Bend6	protein_coding	BEN domain containing 6	17	chr1	33891133	33946897	55765	-
ENSMUSG00000026131	Dst	protein_coding	dystonin	22	chr1	33947306	34347742	400437	+
ENSMUSG00000096992	Gm26788	lncRNA	predicted gene, 26788	4	chr1	34204937	34217527	12591	-
ENSMUSG00000104397	Gm37958	lncRNA	predicted gene, 37958	2	chr1	34368514	34369388	875	-
ENSMUSG00000102336	Gm37233	lncRNA	predicted gene, 37233	3	chr1	34466083	34472421	6339	-
ENSMUSG00000042111	Ccdc115	protein_coding	coiled-coil domain containing 115	10	chr1	34475751	34478753	3003	-
ENSMUSG00000101711	Gm28306	lncRNA	predicted gene 28306	2	chr1	34478592	34483811	5220	-
ENSMUSG00000026127	Imp4	protein_coding	IMP4, U3 small nucleolar ribonucleoprotein	14	chr1	34478932	34488437	9506	+
ENSMUSG00000026126	Ptpn18	protein_coding	protein tyrosine phosphatase, non-receptor type 18	16	chr1	34498843	34514814	15972	+
ENSMUSG00000100280	Gm28417	lncRNA	predicted gene 28417	4	chr1	34507915	34512275	4361	-
ENSMUSG00000101223	4930568A12Rik	lncRNA	RIKEN cDNA 4930568A12 gene	8	chr1	34516248	34525072	8825	-
ENSMUSG00000026125	Prss39	protein_coding	protease, serine 39	10	chr1	34537491	34542144	4654	+
ENSMUSG00000026124	Cfc1	protein_coding	cripto, FRL-1, cryptic family 1	5	chr1	34574729	34583394	8666	+
ENSMUSG00000037529	Prss40	protein_coding	protease, serine 40	14	chr1	34583049	34600024	16976	-
ENSMUSG00000045815	1700101I19Rik	lncRNA	RIKEN cDNA 1700101I19 gene	5	chr1	34618283	34618792	510	-
ENSMUSG00000045174	Amer3	protein_coding	APC membrane recruitment 3	11	chr1	34618738	34630025	11288	+
ENSMUSG00000037509	Arhgef4	protein_coding	Rho guanine nucleotide exchange factor (GEF) 4	22	chr1	34717269	34852390	135122	+
ENSMUSG00000118272	Gm55978	protein_coding	predicted gene, 55978	2	chr1	34840875	34841045	171	+
ENSMUSG00000104002	Gm38336	lncRNA	predicted gene, 38336	3	chr1	34848441	34850989	2549	-
ENSMUSG00000037503	Fam168b	protein_coding	family with sequence similarity 168, member B	13	chr1	34852300	34882146	29847	-
ENSMUSG00000026123	Plekhb2	protein_coding	pleckstrin homology domain containing, family B (evectins) member 2	12	chr1	34889057	34918661	29605	+
ENSMUSG00000104417	Gm37068	lncRNA	predicted gene, 37068	2	chr1	35664687	35690378	25692	-
ENSMUSG00000101714	Gm28415	lncRNA	predicted gene 28415	2	chr1	35846055	35849543	3489	+
ENSMUSG00000102531	1110002O04Rik	lncRNA	RIKEN cDNA 1110002O04 gene	2	chr1	35918926	35920200	1275	+
ENSMUSG00000102279	Gm37146	lncRNA	predicted gene, 37146	2	chr1	36021041	36025454	4414	-
ENSMUSG00000103708	Gm33222	lncRNA	predicted gene, 33222	3	chr1	36042065	36050125	8061	-
ENSMUSG00000104201	4930535G08Rik	lncRNA	RIKEN cDNA 4930535G08 gene	2	chr1	36050153	36050975	823	+
ENSMUSG00000045216	Hs6st1	protein_coding	heparan sulfate 6-O-sulfotransferase 1	8	chr1	36107481	36145527	38047	+
ENSMUSG00000104523	Gm37335	lncRNA	predicted gene, 37335	2	chr1	36144465	36145527	1063	-
ENSMUSG00000102202	Gm33280	lncRNA	predicted gene, 33280	3	chr1	36171099	36177827	6729	+
ENSMUSG00000037470	Uggt1	protein_coding	UDP-glucose glycoprotein glucosyltransferase 1	15	chr1	36179108	36283801	104694	-
ENSMUSG00000047180	Neurl3	protein_coding	neuralized E3 ubiquitin protein ligase 3	9	chr1	36303678	36313760	10083	-
ENSMUSG00000037447	Arid5a	protein_coding	AT rich interactive domain 5A (MRF1-like)	17	chr1	36346814	36363110	16297	+
ENSMUSG00000102762	4930403P22Rik	lncRNA	RIKEN cDNA 4930403P22 gene	2	chr1	36371789	36372501	713	+
ENSMUSG00000010453	Kansl3	protein_coding	KAT8 regulatory NSL complex subunit 3	13	chr1	36374811	36408262	33452	-
ENSMUSG00000037432	Fer1l5	protein_coding	fer-1-like 5 (C. elegans)	16	chr1	36411372	36461191	49820	+
ENSMUSG00000001143	Lman2l	protein_coding	lectin, mannose-binding 2-like	14	chr1	36458952	36484352	25401	-
ENSMUSG00000037408	Cnnm4	protein_coding	cyclin M4	11	chr1	36510701	36547845	37145	+
ENSMUSG00000001138	Cnnm3	protein_coding	cyclin M3	14	chr1	36550948	36567318	16371	+
ENSMUSG00000102845	Gm38033	lncRNA	predicted gene, 38033	2	chr1	36566615	36567318	704	-
ENSMUSG00000067653	Ankrd23	protein_coding	ankyrin repeat domain 23	13	chr1	36569269	36575964	6696	-
ENSMUSG00000079610	Ankrd39	protein_coding	ankyrin repeat domain 39	10	chr1	36576588	36586526	9939	-
ENSMUSG00000026121	Sema4c	protein_coding	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	14	chr1	36587720	36597430	9711	-
ENSMUSG00000087589	D430040D24Rik	lncRNA	RIKEN cDNA D430040D24 gene	4	chr1	36596782	36604694	7913	+
ENSMUSG00000046337	Fam178b	protein_coding	family with sequence similarity 178, member B	18	chr1	36601773	36722264	120492	-
ENSMUSG00000061518	Cox5b	protein_coding	cytochrome c oxidase subunit 5B	12	chr1	36730530	36732762	2233	+
ENSMUSG00000037351	Actr1b	protein_coding	ARP1 actin-related protein 1B, centractin beta	10	chr1	36737195	36753503	16309	-
ENSMUSG00000102416	4933424G06Rik	protein_coding	RIKEN cDNA 4933424G06 gene	5	chr1	36749230	36797034	47805	+
ENSMUSG00000104237	Gm33533	lncRNA	predicted gene, 33533	2	chr1	36778129	36783873	5745	-
ENSMUSG00000026117	Zap70	protein_coding	zeta-chain (TCR) associated protein kinase	11	chr1	36800879	36821899	21021	+
ENSMUSG00000026116	Tmem131	protein_coding	transmembrane protein 131	12	chr1	36831272	36982747	151476	-
ENSMUSG00000102930	Gm38115	lncRNA	predicted gene, 38115	2	chr1	36952682	36955620	2939	-
ENSMUSG00000050122	Vwa3b	protein_coding	von Willebrand factor A domain containing 3B	21	chr1	37065677	37226694	161018	+
ENSMUSG00000103603	Gm37020	lncRNA	predicted gene, 37020	2	chr1	37171354	37172345	992	-
ENSMUSG00000026114	Cnga3	protein_coding	cyclic nucleotide gated channel alpha 3	15	chr1	37253515	37302465	48951	+
ENSMUSG00000026113	Inpp4a	protein_coding	inositol polyphosphate-4-phosphatase, type I	18	chr1	37338946	37449817	110872	+
ENSMUSG00000086064	4930439A04Rik	lncRNA	RIKEN cDNA 4930439A04 gene	2	chr1	37368748	37373253	4506	-
ENSMUSG00000026112	Coa5	protein_coding	cytochrome C oxidase assembly factor 5	8	chr1	37456165	37469184	13020	-
ENSMUSG00000026111	Unc50	protein_coding	unc-50 homolog	16	chr1	37469220	37478205	8986	+
ENSMUSG00000026110	Mgat4a	protein_coding	mannoside acetylglucosaminyltransferase 4, isoenzyme A	16	chr1	37478421	37580097	101677	-
ENSMUSG00000026090	Cracdl	protein_coding	capping protein inhibiting regulator of actin like	17	chr1	37650758	37759166	108409	-
ENSMUSG00000089767	4930556I23Rik	lncRNA	RIKEN cDNA 4930556I23 gene	2	chr1	37653340	37654453	1114	+
ENSMUSG00000060771	Tsga10	protein_coding	testis specific 10	16	chr1	37793857	37905510	111654	-
ENSMUSG00000097268	Gm26805	lncRNA	predicted gene, 26805	2	chr1	37904380	37910469	6090	+
ENSMUSG00000037216	Lipt1	protein_coding	lipoyltransferase 1	6	chr1	37910819	37915309	4491	+
ENSMUSG00000026088	Mitd1	protein_coding	MIT, microtubule interacting and transport, domain containing 1	16	chr1	37913882	37929492	15611	-
ENSMUSG00000026087	Mrpl30	protein_coding	mitochondrial ribosomal protein L30	12	chr1	37929558	37937616	8059	+
ENSMUSG00000061584	Lyg2	protein_coding	lysozyme G-like 2	7	chr1	37945004	37955574	10571	-
ENSMUSG00000087374	Gm15457	lncRNA	predicted gene 15457	2	chr1	37972677	37993217	20541	+
ENSMUSG00000026085	Lyg1	protein_coding	lysozyme G-like 1	12	chr1	37985817	37996840	11024	-
ENSMUSG00000058407	Txndc9	protein_coding	thioredoxin domain containing 9	13	chr1	38024270	38036974	12705	-
ENSMUSG00000026083	Eif5b	protein_coding	eukaryotic translation initiation factor 5B	13	chr1	38037091	38094660	57570	+
ENSMUSG00000026082	Rev1	protein_coding	REV1, DNA directed polymerase	12	chr1	38091867	38168882	77016	-
ENSMUSG00000103804	Gm37062	lncRNA	predicted gene, 37062	2	chr1	38115376	38116386	1011	-
ENSMUSG00000102716	Gm5099	lncRNA	predicted gene 5099	2	chr1	38171164	38198973	27810	+
ENSMUSG00000037138	Aff3	protein_coding	AF4/FMR2 family, member 3	19	chr1	38216407	38704036	487630	-
ENSMUSG00000085391	Gm16150	lncRNA	predicted gene 16150	2	chr1	38274501	38285747	11247	+
ENSMUSG00000085280	Gm16151	lncRNA	predicted gene 16151	2	chr1	38346983	38351011	4029	+
ENSMUSG00000087131	Gm16152	lncRNA	predicted gene 16152	8	chr1	38424030	38433055	9026	+
ENSMUSG00000048814	Lonrf2	protein_coding	LON peptidase N-terminal domain and ring finger 2	12	chr1	38832726	38875792	43067	-
ENSMUSG00000026080	Chst10	protein_coding	carbohydrate sulfotransferase 10	15	chr1	38902948	38937242	34295	-
ENSMUSG00000103647	Gm37707	lncRNA	predicted gene, 37707	2	chr1	38923835	38927153	3319	+
ENSMUSG00000067604	Nms	protein_coding	neuromedin S	9	chr1	38978230	38989357	11128	+
ENSMUSG00000026078	Pdcl3	protein_coding	phosducin-like 3	11	chr1	39024689	39036319	11631	+
ENSMUSG00000104188	Gm37821	lncRNA	predicted gene, 37821	2	chr1	39087729	39096718	8990	-
ENSMUSG00000026077	Npas2	protein_coding	neuronal PAS domain protein 2	16	chr1	39232812	39402317	169506	+
ENSMUSG00000073702	Rpl31	protein_coding	ribosomal protein L31	12	chr1	39406923	39410992	4070	+
